word, 平仮名, hiragana, english, chinese
曇り, くもり, kumori, cloudy, 阴天
汚い, きたない, kitanai, dirty, 脏
きれい, きれい, kirei, beautiful, 漂亮; 干净
有名, ゆうめい, yuumei, famous, 有名
にぎやか, にぎやか, nigiyaka, lively, 热闹; 繁华
静か, しずか, shizuka, quiet, 安静
暇, ひま, hima, free time, 空闲
親切, しんせつ, shinsetsu, kind, 热情
好き, すき, suki, like, 喜欢
嫌い, きらい, kirai, dislike, 讨厌
便利, べんり, benri, convenient, 方便
不便, ふべん, fuben, inconvenient, 不方便
元気, げんき, genki, healthy, 健康; 有精神
簡単, かんたん, kantan, simple, 简单
どんな, どんな, donna, what kind of, 什么样的
どう, どう, dou, how, 怎样; 如何
いかが, いかが, ikaga, how (polite), 如何
いろいろ, いろいろ, iroiro, various, 各种各样
でも, でも, demo, but, 可是; 不过
そして, そして, soshite, and then, 而且; 于是
ところで, ところで, tokorode, by the way, 转换话题
奈良, なら, nara, Nara, 奈良
富士山, ふじさん, fujisan, Mt. Fuji, 富士山
もう少し, もうすこし, mousukoshi, a little more, 再一点
