hiragana,katakana,romaji,jph_word,jp_hiragana,jp_romaji,jpk_word,jp_katakana,english
あ,ア,a,愛,あい,ai,,,
い,イ,i,家,いえ,ie,,,
う,ウ,u,上,うえ,ue,,,
え,エ,e,上,うえ,ue,,,
お,オ,o,青い,あおい,aoi,,,
か,カ,ka,柿,かき,kaki,,,
き,キ,ki,秋,あき,aki,,,
く,ク,ku,菊,きく,kiku,,,
け,ケ,ke,池,いけ,ike,,,
こ,コ,ko,恋,こい,koi,コーヒー,,
さ,サ,sa,酒,さけ,sake,サッカー,,
し,シ,shi,四季,しき,shiki,,,
す,ス,su,寿司,すし,sushi,すかート,,
せ,セ,se,汗,あせ,ase,,,
そ,ソ,so,嘘,うそ,uso,,,
た,タ,ta,歌,うた,uta,,,
ち,チ,chi,地下鉄,ちかてつ,chikatetsu,,,
つ,ツ,tsu,月,つき,tsuki,,,
て,テ,te,手袋,てぶくろ,tebukuro,テレビ,,
と,ト,to,外,そと,soto,,,
な,ナ,na,夏,なつ,natsu,,,
に,ニ,ni,西,にし,nishi,,,
ぬ,ヌ,nu,犬,いぬ,inu,,,
ね,ネ,ne,姉,あね,ane,,,
の,ノ,no,角,つの,tsuno,,,
は,ハ,ha,母,はは,haha,,,
ひ,ヒ,hi,人,ひと,hito,,,
ふ,フ,fu,服,ふく,fuku,,,
へ,ヘ,he,下手,へた,heta,,,
ほ,ホ,ho,頬,ほお,hoo,,,
ま,マ,ma,今,いま,ima,,,
み,ミ,mi,海,うみ,umi,,,
む,ム,mu,無理,むり,muri,,,
め,メ,me,雨,あめ,ame,メール,,
も,モ,mo,物,もの,mono,,,
や,ヤ,ya,山,やま,yama,,,
ゆ,ユ,yu,夢,ゆめ,yume,,,
よ,ヨ,yo,予約,よやく,yoyaku,ヨガ,,
ら,ラ,ra,桜,さくら,sakura,ラジオ,,
り,リ,ri,曇り,くもり,kumori,,,
る,ル,ru,春,はる,haru,,,
れ,レ,re,晴れ,はれ,hare,,,
ろ,ロ,ro,風呂,ふろ,furo,,,
わ,ワ,wa,私,わたし,watashi,,,
を,ヲ,wo,を,を,wo,,,
ん,ン,n,日本,にほん,nihon,,,
が,ガ,ga,外国,がいこく,gaikoku,,,
ぎ,ギ,gi,銀行,ぎんこう,ginkou,,,
ぐ,グ,gu,家具,かぐ,kagu,,,
げ,ゲ,ge,元気,げんき,genki,,,
ご,ゴ,go,ご飯,ごはん,gohan,,,
ざ,ザ,za,座席,ざせき,zaseki,,
じ,ジ,ji,富士山,ふじさん,fujisan,,,
ず,ズ,zu,地図,ちず,chizu,,,
ぜ,ゼ,ze,前後,ぜんご,zengo,,,
ぞ,ゾ,zo,俗語,ぞくご,zokugo,,,
だ,ダ,da,大学,だいがく,daigaku,,,
ぢ,ヂ,ji,鼻血,はなぢ,hanaji,,,
づ,ヅ,zu,づ,づ,zu,,,
で,デ,de,で,で,de,,,
ど,ド,do,窓,まど,mado,,,
ば,バ,ba,市場,いちば,ichiba,バレーボール,,
び,ビ,bi,山葵,わさび,wasabi,,,
ぶ,ブ,bu,豚,ぶた,buta,,,
べ,ベ,be,便利,べんり,benri,,,
ぼ,ボ,bo,漫画本,まんがぼん,mangabon,,,
ぱ,パ,pa,ぱ,ぱ,pa,パン,,
ぴ,ピ,pi,ぴ,ぴ,pi,ピザ,,
ぷ,プ,pu,ぷ,ぷ,pu,,,
ぺ,ペ,pe,ぺ,ぺ,pe,,,
ぽ,ポ,po,ぽ,ぽ,po,,,
きゃ,キャ,kya,きゃ,きゃ,kya,キャンセル,kyanseru,
きゅ,キュ,kyu,きゅっと,きゅっと,kyutto,,,
きょ,キョ,kyo,距離,きょり,kyori,,,
しゃ,シャ,sha,写真,しゃしん,shashin,シャワー,,
しゅ,シュ,shu,首位,しゅい,shui,,,
しょ,ショ,sho,処理,しょり,shori,,,
ちゃ,チャ,cha,お茶,おちゃ,ocha,,,
ちゅ,チュ,chu,ちゅ,ちゅ,chu,チュチュ,,
ちょ,チョ,cho,貯金,ちょきん,chyokin,,,
にゃ,ニャ,nya,にゃあ,にゃあ,nyaa,,,
にゅ,ニュ,nyu,にゅ,にゅ,nyu,,,
にょ,ニョ,nyo,如意,にょい,nyoi,,,
ひゃ,ヒャ,hya,百,ひゃく,hyaku,,,
ひゅ,ヒュ,hyu,ひゅ,ひゅ,hyu,,,
ひょ,ヒョ,hyo,評価,ひょうか,hyouka,,,
みゃ,ミャ,mya,脈,みゃく,myaku,,,
みゅ,ミュ,myu,みゅ,みゅ,myu,ミュージック,,
みょ,ミョ,myo,妙な,みょうな,myouna,,,
りゃ,リャ,rya,略,りゃく,ryaku,,,
りゅ,リュ,ryu,竜,りゅう,ryuu,,,
りょ,リョ,ryo,緑茶,りょくちゃ,ryokucha,,,
ぎゃ,ギャ,gya,ぎゃ,ぎゃ,gya,,,
ぎゅ,ギュ,gyu,牛肉,ぎゅうにく,gyuuniku,,,
ぎょ,ギョ,gyo,御衣,ぎょい,gyoi,,,
じゃ,ジャ,ja,じゃ,じゃ,ja,,,
じゅ,ジュ,ju,樹陰,じゅいん,juin,,,
じょ,ジョ,jo,女医,じょい,joi,,,
びゃ,ビャ,bya,三百,さんびゃく,sanbyaku,,,
びゅ,ビュ,byu,びゅ,びゅ,byu,,,
びょ,ビョ,byo,秒,びょう,byou,,,
ぴゃ,ピャ,pya,六百,ろっぴゃく,roppyak,,,
ぴゅ,ピュ,pyu,ぴゅ,ぴゅ,pyu,,,
ぴょ,ピョ,pyo,発表,はっぴょう,happyou,,,
